"Site: Site Name","Lot: Lot Number","Block Number","Block Lot Number","Year Started","Site: ID","Lot: ID","City","Dimensions","Lot Number","MCC","No Actual Address","Owner City","Owner Name","Owner State","Owner Street Address","Owner Zip","Square Feet","State","Street Address","Zip","Lot: Created Date","Lot: Last Modified Date","Additional Block/Lot Numbers","Address, if Available","Approximate Address","City","City Council District","Conservation Value","Conservation Value, if Other","Date Added","Directions to Site","Fence","GPS Coordinates","If Fence, Hours Posted","If Fence, Locked","Legislative District","Management","Motivations","Neighborhood","Notes","Owner","Ownership Type","Permission","Primary Block/Lot Number","QCMOS","Relationship to BGS","Site Record Number","Source","Square Feet","State","Type","Uses","Watershed","Zip Code","Zoning Type","Site: Record Type","Site: Owner Role","Site: Created Date","Site: Last Modified Date","Site: Last Activity Date"
"Sherwood Gardens","002","3706","3706 002","","a0Kd0000002qelO","a0Pd0000005UD6c","Baltimore","","","No","0","Baltimore","Stratford Green Inc","MD","929 N. Howard Street","21202","86249","MD","4310 Underwood Road","","10/2/2012","9/17/2015","","4310 Underwood Road","","Baltimore","14","Gathering Space; Trees; Other","","","","","","","","43","","","Guilford","Lot records include just 1 lot. the whole thing is about 6 acres. So we're missing some of it.","","Privately Owned","","","1","","Property # 2012 - 0238","","86249","MD","Garden","","Jones Falls Watershed","21218","","Community Managed Site","System Administrator","10/2/2012","3/30/2015",""
"Hillen Homestead","026","3938","3938 026","2012","a0Kd000000EEg91","a0Pd000000T2P51","Baltimore","","","Yes","0","","Mayor and City Council","","","","","MD","1915 E. 28th Street","21218","5/21/2014","5/21/2014","","1913 E. 28th Street","","Baltimore","14","Food Production; Relief from Built Environment; Trees; Habitat","","","","No","","","","43","","Active Recreation; Beautification; Bees; Birds; Butterflies; Connecting to the Land; Education; Food; Neighborhood Sociability; Reduce Trash/Dumping; Water Quality; Other","Coldstream Homestead Montebello","The site is used for growing cut flowers and some food, and engaging with neighborhs and contributing to the local urban ag movement as well as local small businesses. Many flowers are given away, and some are sold at farmers markets and to some florists, and as a CSA add-on to real food farm.","","Mixed","Adopt-A-Lot","","1","Minor Contact","Property # 2014 - 0318","Person Involved in Project","0","MD","Garden","Beauty; Flower Beds; Food Grown - Organic; Income-Generating; Memorial; Trees; Wildlife Habitat/Animals Kept","Herring Run","21218","","Community Managed Site","System Administrator","5/21/2014","7/22/2015",""
"Hillen Homestead","028","3938","3938 028","2012","a0Kd000000EEg91","a0Pd000000T2P4J","Baltimore","","","Yes","0","","Mayor and City Council","","","","","MD","1919 E. 28th Street","21218","5/21/2014","5/21/2014","","1913 E. 28th Street","","Baltimore","14","Food Production; Relief from Built Environment; Trees; Habitat","","","","No","","","","43","","Active Recreation; Beautification; Bees; Birds; Butterflies; Connecting to the Land; Education; Food; Neighborhood Sociability; Reduce Trash/Dumping; Water Quality; Other","Coldstream Homestead Montebello","The site is used for growing cut flowers and some food, and engaging with neighborhs and contributing to the local urban ag movement as well as local small businesses. Many flowers are given away, and some are sold at farmers markets and to some florists, and as a CSA add-on to real food farm.","","Mixed","Adopt-A-Lot","","1","Minor Contact","Property # 2014 - 0318","Person Involved in Project","0","MD","Garden","Beauty; Flower Beds; Food Grown - Organic; Income-Generating; Memorial; Trees; Wildlife Habitat/Animals Kept","Herring Run","21218","","Community Managed Site","System Administrator","5/21/2014","7/22/2015",""
"Hillen Homestead","024","3938","3938 024","2012","a0Kd000000EEg91","a0Pd000000T2P5B","Baltimore","13-9x90","","No","0","","ABEBE HOLDINGS LLC","","","","","MD","1911 E. 28th Street","21218","5/21/2014","5/21/2014","","1913 E. 28th Street","","Baltimore","14","Food Production; Relief from Built Environment; Trees; Habitat","","","","No","","","","43","","Active Recreation; Beautification; Bees; Birds; Butterflies; Connecting to the Land; Education; Food; Neighborhood Sociability; Reduce Trash/Dumping; Water Quality; Other","Coldstream Homestead Montebello","The site is used for growing cut flowers and some food, and engaging with neighborhs and contributing to the local urban ag movement as well as local small businesses. Many flowers are given away, and some are sold at farmers markets and to some florists, and as a CSA add-on to real food farm.","","Mixed","Adopt-A-Lot","","1","Minor Contact","Property # 2014 - 0318","Person Involved in Project","0","MD","Garden","Beauty; Flower Beds; Food Grown - Organic; Income-Generating; Memorial; Trees; Wildlife Habitat/Animals Kept","Herring Run","21218","","Community Managed Site","System Administrator","5/21/2014","7/22/2015",""
"Hillen Homestead","027","3938","3938 027","2012","a0Kd000000EEg91","a0Pd000000T2P56","Baltimore","","","Yes","0","","Mayor and City Council","","","","","MD","1917 E. 28th Street","21218","5/21/2014","5/21/2014","","1913 E. 28th Street","","Baltimore","14","Food Production; Relief from Built Environment; Trees; Habitat","","","","No","","","","43","","Active Recreation; Beautification; Bees; Birds; Butterflies; Connecting to the Land; Education; Food; Neighborhood Sociability; Reduce Trash/Dumping; Water Quality; Other","Coldstream Homestead Montebello","The site is used for growing cut flowers and some food, and engaging with neighborhs and contributing to the local urban ag movement as well as local small businesses. Many flowers are given away, and some are sold at farmers markets and to some florists, and as a CSA add-on to real food farm.","","Mixed","Adopt-A-Lot","","1","Minor Contact","Property # 2014 - 0318","Person Involved in Project","0","MD","Garden","Beauty; Flower Beds; Food Grown - Organic; Income-Generating; Memorial; Trees; Wildlife Habitat/Animals Kept","Herring Run","21218","","Community Managed Site","System Administrator","5/21/2014","7/22/2015",""
"Hillen Homestead","025","3938","3938 025","2012","a0Kd000000EEg91","a0Pd000000T2P4w","Baltimore","","","Yes","0","","Mayor and City Council","","","","","MD","1913 E. 28th Street","21218","5/21/2014","5/21/2014","","1913 E. 28th Street","","Baltimore","14","Food Production; Relief from Built Environment; Trees; Habitat","","","","No","","","","43","","Active Recreation; Beautification; Bees; Birds; Butterflies; Connecting to the Land; Education; Food; Neighborhood Sociability; Reduce Trash/Dumping; Water Quality; Other","Coldstream Homestead Montebello","The site is used for growing cut flowers and some food, and engaging with neighborhs and contributing to the local urban ag movement as well as local small businesses. Many flowers are given away, and some are sold at farmers markets and to some florists, and as a CSA add-on to real food farm.","","Mixed","Adopt-A-Lot","","1","Minor Contact","Property # 2014 - 0318","Person Involved in Project","0","MD","Garden","Beauty; Flower Beds; Food Grown - Organic; Income-Generating; Memorial; Trees; Wildlife Habitat/Animals Kept","Herring Run","21218","","Community Managed Site","System Administrator","5/21/2014","7/22/2015",""
"301 S. Calhoun Street","054","0281","0281 054","2008","a0Kd0000002DgtU","a0Pd0000005DLku","Baltimore","14 x 79","","No","0","Baltimore","Samuel and Rebecca Snyder","MD","301 S. Calhoun Street","21223","980","MD","301 S. Calhoun Street","21223","8/9/2012","9/24/2012","","301 S. Calhoun Street","","Baltimore","9","Relief from Built Environment; Stormwater Management; Trees; Habitat","","8/9/2012","","Yes","","","Yes","44","Community Managed","","New Southwest/Mount Clare","Owners are dead, according to Julie Bussen.  She has reached out to leaders from Southwest Coaltion, New Southwest and Bon Secours hitting road blocks at each place.  Union Square Community Association has expressed interest in assisting (Chris Taylor).  Also Ms. Edith Nelson is the biggest supporter in the community but there are several every now and again helpers.","","Privately Owned","No","","1","Minor Contact","Property # 2012 - 0200","Person Involved in Project","980","MD","Garden","Beauty; Children's Activities; Flower Beds; Trees; Wildlife Habitat/Animals Kept","Direct Harbor","21223","R-8","Community Managed Site","System Administrator","8/9/2012","3/28/2014","6/4/2013"
"Remington Village Green","061","3651","3651 061","2007","a0Kd0000001kyXx","a0Pd0000003NbkR","Baltimore","12 x 60","061","No","0","Baltimore","Baltimore Green Space","MD","1212 North Wolfe Street","21213","720","MD","2818 Fox Street","21211","2/8/2012","5/12/2015","","2812 - 2822 Fox Street","28th and Fox St.","Baltimore","14","Food Production; Gathering Space; Relief from Built Environment","","","","No","","","","40","","Active Recreation; Air Quality; Food; Reduce Trash/Dumping; Water Quality","Remington","","","Mixed","","","1","Partly Protected","Property # 2012 - 0005","Other","4320","MD","Garden","Art Inc.; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic; Trees","Jones Falls","21211","R-8","Community Managed Site","System Administrator","2/8/2012","6/2/2015","10/26/2015"
"Charles M. Halcott Square","053","1748","1748 053","1970","a0Kd0000001l4w0","a0Pd0000003Nfn1","Baltimore","","053","No","0","","Baltimore Green Space","","","","3833","MD","104 S. Duncan Street","","2/16/2012","10/31/2014","","104 South Duncan Street","","Baltimore","1","Gathering Space; Relief from Built Environment; Stormwater Management; Trees; Habitat","","","between Pratt & Lombard","No","","Hours posted","No","46","Community Managed","Air Quality; Beautification; Birds; Butterflies; Neighborhood Sociability; Property Value; Push Out Crime/Drugs; Reduce Trash/Dumping; Tradition ""In My Blood""; Other","Butcher's Hill","This site has several benches, two tables, iron fencing, brick walls and brick pathways.
Water account number 06342970008","","Privately Owned","","","1","Protected by BGS","Property # 2012 - 0008","Word of Mouth","3833","MD","Garden","Beauty; Children's Activities; Flower Beds; Memorial; Trees; Wildlife Habitat/Animals Kept","Direct Harbor","21231","R-8","Community Managed Site","System Administrator","2/16/2012","11/3/2014","8/27/2015"
"Brentwood Commons","063","1096","1096 063","2007","a0Kd0000001kx47","a0Pd0000003NanD","Baltimore","","063","No","0","","Baltimore Green Space","","","","3444","MD","1816 Brentwood Avenue","21202","2/7/2012","9/17/2015","","1816 Brentwood Avenue","Brentwood and McAllister","Baltimore","12","Gathering Space; Relief from Built Environment; Stormwater Management; Trees","","","","No","","","","40","Community Managed","Active Recreation; Air Quality; Beautification; Birds; Neighborhood Sociability; Property Value; Push Out Crime/Drugs; Reduce Trash/Dumping; Other","Greenmount West","Place for kids to play -- away from chipping lead paint.","","Privately Owned","Private Agreement","","1","Protected by BGS","Property # 2012 - 0004","","3444","MD","Garden","Active Recreational; Beauty; Children's Activities; Flower Beds; Trees","Jones Falls","21202","B-3-3","Community Managed Site","System Administrator","2/7/2012","3/28/2014","2/4/2015"
"Wilson Park Woods","012","5192","5192 012","","a0Kd0000002AlhH","a0Pd00000048JxN","Baltimore","25 x 112","","Yes","0","Baltimore","Mayor and City Council","MD","417 E Fayette St., Room 1020","21202","2796","MD","","","3/28/2012","10/17/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"Wilson Park Woods","014","5192","5192 014","","a0Kd0000002AlhH","a0Pd00000048JxX","Baltimore","25 x 112","","No","0","Kensington","Howil Development Corp","MD","P. O. BOX 232","20895","2796","MD","","","3/28/2012","3/28/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"Remington Village Green","060","3651","3651 060","2007","a0Kd0000001kyXx","a0Pd0000003NbkH","Baltimore","12 x 60","060","No","0","Baltimore","Baltimore Green Space","MD","1212 North Wolfe Street","21213","720","MD","2816 Fox Street","21211","2/8/2012","5/12/2015","","2812 - 2822 Fox Street","28th and Fox St.","Baltimore","14","Food Production; Gathering Space; Relief from Built Environment","","","","No","","","","40","","Active Recreation; Air Quality; Food; Reduce Trash/Dumping; Water Quality","Remington","","","Mixed","","","1","Partly Protected","Property # 2012 - 0005","Other","4320","MD","Garden","Art Inc.; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic; Trees","Jones Falls","21211","R-8","Community Managed Site","System Administrator","2/8/2012","6/2/2015","10/26/2015"
"Remington Village Green","062","3651","3651 062","2007","a0Kd0000001kyXx","a0Pd0000003Nbkb","Baltimore","12 x 60","062","No","0","Baltimore","Shan-Jen Chen Huang","MD","9818 Hickoryhurst Drive","21236","720","MD","2820 Fox Street","21211","2/8/2012","3/11/2012","","2812 - 2822 Fox Street","28th and Fox St.","Baltimore","14","Food Production; Gathering Space; Relief from Built Environment","","","","No","","","","40","","Active Recreation; Air Quality; Food; Reduce Trash/Dumping; Water Quality","Remington","","","Mixed","","","1","Partly Protected","Property # 2012 - 0005","Other","4320","MD","Garden","Art Inc.; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic; Trees","Jones Falls","21211","R-8","Community Managed Site","System Administrator","2/8/2012","6/2/2015","10/26/2015"
"Wilson Park Woods","011","5192","5192 011","","a0Kd0000002AlhH","a0Pd00000048JxI","Baltimore","25 x 112","","No","0","Kensington","Howil Development Corp","MD","P. O. BOX 232","20895","2796","MD","","","3/28/2012","3/28/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"North Hill Community Garden","047","3972E","3972E 047","","a0Kd0000002AJek","a0Pd00000047yqf","Baltimore","","047","Yes","0","","","","","","3440","MD","","","2/28/2012","3/11/2012","","","would be 991 North Hill Road, but no real address","Baltimore","","","","","","","","","","","","","Ednor-Gardens Lakeside","Herring Run Watershed 14
Legislative District 43
City Council District 14","","","","","0","","Property # 2012 - 0009","","3440","MD","","","","21218","","Unconfirmed Site","System Administrator","2/23/2012","7/24/2014","2/20/2013"
"Wilson Park Woods","016","5192","5192 016","","a0Kd0000002AlhH","a0Pd00000048Jxh","Baltimore","25 x 112","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","2796","MD","","","3/28/2012","3/28/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"Milton Street Rain Garden","1591","032","032 1591","2009","a0Kd0000002tcej","a0Pd000000Cozya","Baltimore","12-2X65","","Yes","0","Baltimore","MAYOR & CITY COUNCIL OF BALTIMORE","MD","417 E. FAYETTE ST., RM 1001","21202","791","MD","2441 E Eager St","21205","1/29/2013","6/7/2013","","2441 E Eager Street","2441-2447 Eager Street","Baltimore","13","Relief from Built Environment; Stormwater Management; Trees","","","","No","","","","45","Managed by Institution","Air Quality; Beautification; Education; Neighborhood Sociability; Property Value; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality","Milton-Montford","","","Mixed","No","","1","Minor Contact","Property # 2012 - 0240","Nonprofit","3126","MD","Garden","Art Inc.; Beauty; Children's Activities; Flower Beds; Rain Garden; Trees","Direct Harbor","21205","","Community Managed Site","System Administrator","11/27/2012","3/17/2015",""
"Wilson Park Woods","010","5192","5192 010","","a0Kd0000002AlhH","a0Pd00000048JxD","Baltimore","25 x 112","","Yes","0","","MCC","","","","2796","MD","","","3/28/2012","3/28/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"Wilson Park Woods","009","5192","5192 009","","a0Kd0000002AlhH","a0Pd00000048Jx8","Baltimore","25 x 112","","Yes","0","","MCC","","","","2796","MD","","","3/28/2012","3/28/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"Wilson Park Woods","015","5192","5192 015","","a0Kd0000002AlhH","a0Pd00000048Jxc","Baltimore","25 x 112","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","2796","MD","","","3/28/2012","3/28/2012","","4406 Kenilworth Ave","Coldspring Ave and Kennilworth Ave (a paper street)","Baltimore","4","","","","","","39.344323,-76.60","","","43","","","Wilson Park","","","Mixed","","","1","Discussions","Property # 2012 - 0015","Word of Mouth","19572","MD","Forest","","Herring Run","21212","R-5","Community Managed Site","System Administrator","3/23/2012","3/13/2014","7/27/2015"
"Remington Village Green","059","3651","3651 059","2007","a0Kd0000001kyXx","a0Pd0000003NbkC","Baltimore","12 x 60","059","No","0","Baltimore","Baltimore Green Space","MD","1212 North Wolfe Street","21213","720","MD","2814 Fox Street","21211","2/8/2012","5/12/2015","","2812 - 2822 Fox Street","28th and Fox St.","Baltimore","14","Food Production; Gathering Space; Relief from Built Environment","","","","No","","","","40","","Active Recreation; Air Quality; Food; Reduce Trash/Dumping; Water Quality","Remington","","","Mixed","","","1","Partly Protected","Property # 2012 - 0005","Other","4320","MD","Garden","Art Inc.; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic; Trees","Jones Falls","21211","R-8","Community Managed Site","System Administrator","2/8/2012","6/2/2015","10/26/2015"
"Remington Village Green","058","3651","3651 058","2007","a0Kd0000001kyXx","a0Pd0000003Nbk7","Baltimore","","058","Yes","0","Baltimore","MCC","MD","","","720","MD","2812 Fox Street","21211","2/8/2012","9/17/2015","","2812 - 2822 Fox Street","28th and Fox St.","Baltimore","14","Food Production; Gathering Space; Relief from Built Environment","","","","No","","","","40","","Active Recreation; Air Quality; Food; Reduce Trash/Dumping; Water Quality","Remington","","","Mixed","","","1","Partly Protected","Property # 2012 - 0005","Other","4320","MD","Garden","Art Inc.; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic; Trees","Jones Falls","21211","R-8","Community Managed Site","System Administrator","2/8/2012","6/2/2015","10/26/2015"
"Remington Village Green","063","3651","3651 063","2007","a0Kd0000001kyXx","a0Pd0000003NbkW","Baltimore","12-2 x 60","063","No","0","Baltimore","Baltimore Green Space","MD","1212 North Wolfe Street","21213","720","MD","2822 Fox Street","21211","2/8/2012","5/12/2015","","2812 - 2822 Fox Street","28th and Fox St.","Baltimore","14","Food Production; Gathering Space; Relief from Built Environment","","","","No","","","","40","","Active Recreation; Air Quality; Food; Reduce Trash/Dumping; Water Quality","Remington","","","Mixed","","","1","Partly Protected","Property # 2012 - 0005","Other","4320","MD","Garden","Art Inc.; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic; Trees","Jones Falls","21211","R-8","Community Managed Site","System Administrator","2/8/2012","6/2/2015","10/26/2015"
