ID,SOURCEID,Site Name,Address,Type,BlockLot,RecordType,YearStarted,ApproxAddress,GardenType,Management,SqFeet,BGS_Relate,NHOOD,Conserval,ConsValue,Motivations,Uses,CCD,LD,Watershed,OwnType,Permission,Fence,FenceLock,FenceHours,Water
291,BGS_115,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 070,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
292,BGS_116,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 071,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
293,BGS_117,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 072,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
294,BGS_118,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 073,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
295,BGS_119,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 074,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
34,BGS_303,Miss Pat's Garden,,Garden,005 1690,Community Managed Site,,219 N Montford,Garden,,2700,Minor Contact,Paterson Place,,,,,,0,,City Owned,,,,,
29,BGS_301,Miss Pat's Garden,,Garden,006 1690,Community Managed Site,,219 N Montford,Garden,,2700,Minor Contact,Paterson Place,,,,,,0,,City Owned,,,,,
152,BGS_336,New Beginnings Garden #1,1000-1012 N. Carrollton Ave.,Garden,0065 043,Community Managed Site,2002,,Garden,Community Managed,2214,,Sandtown-Winchester,Trees,,Air Quality; Beautification; Water Quality,Trees,9,44,,Mixed,No,,No,,Hose from Neighbor
153,BGS_337,New Beginnings Garden #1,1000-1012 N. Carrollton Ave.,Garden,0065 048,Community Managed Site,2002,,Garden,Community Managed,2214,,Sandtown-Winchester,Trees,,Air Quality; Beautification; Water Quality,Trees,9,44,,Mixed,No,,No,,Hose from Neighbor
145,BGS_420,Sandtown Garden #2,1003-1009 N. Carrollton Ave.,Garden,0066 020,Community Managed Site,2000,,Garden,Community Managed,2628,,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Food Grown - Organic; Trees,9,44,,Mixed,Yes,,Yes,,Hydrant
146,BGS_421,Sandtown Garden #2,1003-1009 N. Carrollton Ave.,Garden,0066 021,Community Managed Site,2000,,Garden,Community Managed,2628,,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Food Grown - Organic; Trees,9,44,,Mixed,Yes,,Yes,,Hydrant
147,BGS_422,Sandtown Garden #2,1003-1009 N. Carrollton Ave.,Garden,0066 022,Community Managed Site,2000,,Garden,Community Managed,2628,,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Food Grown - Organic; Trees,9,44,,Mixed,Yes,,Yes,,Hydrant
148,BGS_423,Sandtown Garden #2,1003-1009 N. Carrollton Ave.,Garden,0066 023,Community Managed Site,2000,,Garden,Community Managed,2628,,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Food Grown - Organic; Trees,9,44,,Mixed,Yes,,Yes,,Hydrant
149,BGS_338,New Beginnings Garden #2,1011-1015 N. Carrollton Ave.,Garden,0066 024,Community Managed Site,2004,N. Carrollton and Stockton,Garden,Community Managed,2952,,Sandtown-Winchester,,,Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping,,9,44,,City Owned,No,,No,,Hydrant
150,BGS_339,New Beginnings Garden #2,1011-1015 N. Carrollton Ave.,Garden,0066 025,Community Managed Site,2004,N. Carrollton and Stockton,Garden,Community Managed,2952,,Sandtown-Winchester,,,Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping,,9,44,,City Owned,No,,No,,Hydrant
151,BGS_340,New Beginnings Garden #2,1011-1015 N. Carrollton Ave.,Garden,0066 026,Community Managed Site,2004,N. Carrollton and Stockton,Garden,Community Managed,2952,,Sandtown-Winchester,,,Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping,,9,44,,City Owned,No,,No,,Hydrant
33,BGS_302,Miss Pat's Garden,,Garden,007 1690,Community Managed Site,,219 N Montford,Garden,,2700,Minor Contact,Paterson Place,,,,,,0,,City Owned,,,,,
158,BGS_61,Beautification Garden #1 (Our Community Garden),913 N. Carey Street,Garden,0078 016,Community Managed Site,2001,,Garden,Community Managed,1232,Minor Contact,Sandtown-Winchester,,,Air Quality; Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,,9,44,,Prvately Owned,No,,No,,Hose from Neighbor
12,BGS_299,Memory Garden,929 N. Carey St.,Garden,0078 024,Community Managed Site,2002,,Garden,Community Managed,1320,Minor Contact,Sandtown-Winchester,,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Art Inc.,9,44,,Privately Owned,No,,No,,Hose from Neighbor
155,BGS_335,Nate's Garden,1225 Mosher St.,Garden,0078 025,Community Managed Site,2007,,Garden,Community Managed,1560,Minor Contact,Sandtown-Winchester,,,Beautification,,9,44,,Privately Owned,No,,No,,Hose from Neighbor
11,BGS_282,Love Garden,1130 Lafayette Ave.,Garden,0079 010,Community Managed Site,2000,,Garden,Community Managed,1175,Minor Contact,Sandtown-Winchester,Relief from Built Environment; Habitat,,,,,0,,Unknown,Private Agreement,Yes,No,,
154,BGS_364,Our Community Garden #3,1103 Mosher St.,Garden,0079 025,Community Managed Site,2002,,Garden,Community Managed,2550,Minor Contact,Sandtown-Winchester,Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Trees,9,44,,City Owned,No,,No,,Hose from Neighbor
160,BGS_419,Sandtown Garden #1,920 Arlington Ave.,Garden,0079 026,Community Managed Site,2004,Mosher and Arlington,Garden,Community Managed,5125,Minor Contact,Sandtown-Winchester,Trees,,Air Quality; Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Trees,9,44,,Privately Owned,No,,No,,Hose from Neighbor
159,BGS_418,Sandtown Garden #1,920 Arlington Ave.,Garden,0079 027,Community Managed Site,2004,Mosher and Arlington,Garden,Community Managed,5125,Minor Contact,Sandtown-Winchester,Trees,,Air Quality; Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Trees,9,44,,Privately Owned,No,,No,,Hose from Neighbor
157,BGS_465,TKF Peace Garden,906 & 908 Arlington Ave.,Garden,0079 032,Community Managed Site,2008,Arlington and Small St.,Garden,Community Managed,4563,Minor Contact,Sandtown-Winchester,Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Art Inc.; Trees,9,44,,City Owned,No,,No,,Hose from Neighbor
156,BGS_464,TKF Peace Garden,906 & 908 Arlington Ave.,Garden,0079 033,Community Managed Site,2008,Arlington and Small St.,Garden,Community Managed,4563,Minor Contact,Sandtown-Winchester,Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Art Inc.; Trees,9,44,,City Owned,No,,No,,Hose from Neighbor
161,BGS_463,The Small Street Garden,"1103,1105, 1107, 1109 Mosher St & 906,",Garden,0079 034,Community Managed Site,1999,,Garden,Community Managed,1836,Minor Contact,Sandtown-Winchester,Gathering Space; Trees,,Air Quality; Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Trees,9,44,,Mixed,No,,No,,Hose from Neighbor
431,BGS_327,Mount Washington Community Garden and Arboretum,1920 Kelly Ave.,,010 4652F,Community Managed Site,,,,,1355621,,,,,,,,0,,Mixed,,,,,
16,BGS_210,Franklin Square Community Garden,262-264 Bruce Street,,0164 123,Community Managed Site,,,,,1320,,Franklin Square,,,,,9,44,,Mixed,,,,,
18,BGS_211,Franklin Square Community Garden,262-264 Bruce Street,,0164 124,Community Managed Site,,,,,1320,,Franklin Square,,,,,9,44,,Mixed,,,,,
250,BGS_355,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 049,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
251,BGS_356,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 050,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
252,BGS_357,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 051,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
253,BGS_358,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 052,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
254,BGS_359,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 053,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
255,BGS_360,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 054,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
256,BGS_361,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 055,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
257,BGS_362,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 056,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
258,BGS_363,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 058,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
89,BGS_350,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 059,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
90,BGS_351,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 060,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
91,BGS_352,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 061,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
92,BGS_353,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 062,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
93,BGS_354,OROSW Cooperative Garden,101-113 N. Fulton Ave.,Garden,0178 063,Community Managed Site,2006,,Garden,Managed by Institution,24580,Minor Contact,Franklin Square,,,,,9,44,,City Owned,,No,No,,
248,BGS_347,North Fulton Play Park,2 N. Fulton Ave.,Garden,0193 001,Community Managed Site,2005,N. Fulton and Fairmount St.,Garden,Community Managed,8370,,Franklin Square,Food Production; Gathering Space,,Air Quality; Beautification; Education; Food; Neighborhood Sociability; Water Quality,Art Inc.; Food Grown - Co-op,9,44,,City Owned,,Yes,No,,Hose from Neighbor
249,BGS_348,North Fulton Play Park,2 N. Fulton Ave.,Garden,0193 004,Community Managed Site,2005,N. Fulton and Fairmount St.,Garden,Community Managed,8370,,Franklin Square,Food Production; Gathering Space,,Air Quality; Beautification; Education; Food; Neighborhood Sociability; Water Quality,Art Inc.; Food Grown - Co-op,9,44,,City Owned,,Yes,No,,Hose from Neighbor
259,BGS_54,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 032,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
382,BGS_58,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 033,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
396,BGS_60,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 034,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
386,BGS_59,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 035,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
375,BGS_56,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 036,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
378,BGS_57,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 037,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
263,BGS_55,Baltimore Street Green Space,1706-1718 West Baltimore Street,,0194 038,Community Managed Site,,,,,4968,,Franklin Square,,,,,9,44,,Privately Owned,,,,,
412,BGS_129,Bruce/Baltimore Block,15 North Bruce Street,,0194 069,Community Managed Site,,,,,587,,Franklin Square,,,,,9,44,,,,,,,
43,BGS_398,Project Plase Garden at Calverton,,,0204 059,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
21,BGS_136,Clean and Green Baltimore at Smallwood,2139-2145 West Baltimore Street,,0205 020,Community Managed Site,,,,,8265,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
17,BGS_135,Clean and Green Baltimore at Smallwood,2139-2145 West Baltimore Street,,0205 021,Community Managed Site,,,,,8265,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
15,BGS_134,Clean and Green Baltimore at Smallwood,2139-2145 West Baltimore Street,,0205 022,Community Managed Site,,,,,8265,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
23,BGS_137,Clean and Green Baltimore at Smallwood,2139-2145 West Baltimore Street,,0205 023,Community Managed Site,,,,,8265,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
173,BGS_89,Boyd Booth Site 4 & 5,2100 Hollins St and 2048 Hollins St,Garden,0205 051,Community Managed Site,,,Garden,,1080,,Boyd-Booth,,,,,9,44,,City Owned,,,No,,
416,BGS_401,Project Plase Garden at Calverton,,,0221 001,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
410,BGS_399,Project Plase Garden at Calverton,,,0221 002,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
414,BGS_400,Project Plase Garden at Calverton,,,0221 003,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
432,BGS_404,Project Plase Garden at Calverton,,,0221 049,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
423,BGS_402,Project Plase Garden at Calverton,,,0221 050,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
425,BGS_403,Project Plase Garden at Calverton,,,0221 051,Community Managed Site,,,,,14662,,Boyd-Booth,,,,,9,44,,Mixed,,,,,
174,BGS_90,Boyd Street Garden,101-1023 Boyd St.,Garden,0235 093,Community Managed Site,1998,S. Schroeder St. and Mt. Clare,Garden,Community Managed,8537,,Hollins Market,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Flower Beds; Food Grown - Individual Plots; Food Grown - Organic; Income-Generating; Memorial; Trees,9,44,,City Owned,,Yes,No,,Hydrant
429,BGS_431,South Gilmore,,,0245 013,Community Managed Site,,"123, 125,134, 201,203 South Gilmore",,,8116,,Union Square,,,,,9,44,,,,,,,
418,BGS_428,South Gilmore,,,0245 014,Community Managed Site,,"123, 125,134, 201,203 South Gilmore",,,8116,,Union Square,,,,,9,44,,,,,,,
422,BGS_430,South Gilmore,,,0246 028,Community Managed Site,,"123, 125,134, 201,203 South Gilmore",,,8116,,Union Square,,,,,9,44,,,,,,,
419,BGS_429,South Gilmore,,,0246 029,Community Managed Site,,"123, 125,134, 201,203 South Gilmore",,,8116,,Union Square,,,,,9,44,,,,,,,
121,BGS_391,Pathway Project,131 S. Carrollton Ave.,Garden,0250 024,Community Managed Site,,,Garden,,896,,Hollins Market,,,,,9,44,,City Owned,,,No,,
435,BGS_432,South Gilmore,,,0263 013,Community Managed Site,,"123, 125,134, 201,203 South Gilmore",,,8116,,Union Square,,,,,9,44,,,,,,,
6,BGS_213,Garden Big,1425 West Ostend Street,,0266B 042,Community Managed Site,,,,,19427,,Washington Village/Pigtown,,,,,10,44,,Privately Owned,,,,,
22,BGS_2,301 S. Calhoun Street,301 S. Calhoun Street,Garden,0281 054,Community Managed Site,2008,,Garden,Community Managed,980,Discussions,New Southwest/Mount Clare,Relief from Built Environment; Stormwater Management; Trees; Habitat,,,Beauty; Children's Activities; Flower Beds; Trees; Wildlife Habitat/Animals Kept,9,44,,Privately Owned,No,Yes,Yes,,Hydrant
434,BGS_83,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 007,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
451,BGS_87,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 007,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
433,BGS_82,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 008,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
444,BGS_85,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 009,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
449,BGS_86,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 010,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
453,BGS_88,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 011,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
441,BGS_84,Boyd Booth Site 1,410-420 South Pulaski Street,,0289 012,Community Managed Site,,,,,7080,,Carrollton Ridge,,,,,9,44,,,,,,,
442,BGS_80,Boyd Booth 3,441 Small Wood Street,,0289 044,Community Managed Site,,,,,2613,,Carrollton Ridge,,,,,9,44,,Privately Owned,,,,,
452,BGS_81,Boyd Booth 3,441 Small Wood Street,,0289 045,Community Managed Site,,,,,2613,,Carrollton Ridge,,,,,9,44,,Privately Owned,,,,,
224,BGS_296,Martha's Place Memorial Garden Project,594 Presstman Ave,Garden,0313 051,Community Managed Site,,,Garden,Managed by Institution,1050,,Upton,Gathering Space; Trees,,Beautification; Push Out Crime/Drugs; Reduce Trash/Dumping,Art Inc.; Flower Beds; Memorial; Trees,11,44,,Privately Owned,,Yes,No,,
207,BGS_216,Gardens of Hope,1202-1227 Shields Place,Garden,0412 021,Community Managed Site,1992,,Garden,Community Managed,18372,Minor Contact,Upton,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Flower Beds; Food Grown - Individual Plots; Trees,11,44,,City Owned,,Yes,Yes,,Carried In
208,BGS_217,Gardens of Hope,1202-1227 Shields Place,Garden,0412 022,Community Managed Site,1992,,Garden,Community Managed,18372,Minor Contact,Upton,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Flower Beds; Food Grown - Individual Plots; Trees,11,44,,City Owned,,Yes,Yes,,Carried In
209,BGS_218,Gardens of Hope,1202-1227 Shields Place,Garden,0412 023,Community Managed Site,1992,,Garden,Community Managed,18372,Minor Contact,Upton,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Flower Beds; Food Grown - Individual Plots; Trees,11,44,,City Owned,,Yes,Yes,,Carried In
210,BGS_219,Gardens of Hope,1202-1227 Shields Place,Garden,0412 048,Community Managed Site,1992,,Garden,Community Managed,18372,Minor Contact,Upton,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Flower Beds; Food Grown - Individual Plots; Trees,11,44,,City Owned,,Yes,Yes,,Carried In
213,BGS_220,Gardens of Hope,1202-1227 Shields Place,Garden,0412 049,Community Managed Site,1992,,Garden,Community Managed,18372,Minor Contact,Upton,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Flower Beds; Food Grown - Individual Plots; Trees,11,44,,City Owned,,Yes,Yes,,Carried In
